DATE,MHICT09005A052NCEN
2000-01-01,56215
2001-01-01,56807
2002-01-01,57738
2003-01-01,58029
2004-01-01,59546
2005-01-01,63869
2006-01-01,66113
2007-01-01,68142
2008-01-01,67520
2009-01-01,67688
2010-01-01,66076
2011-01-01,68658
2012-01-01,67746
2013-01-01,70519
2014-01-01,73413
2015-01-01,70847
2016-01-01,76323
2017-01-01,77968
2018-01-01,76304
2019-01-01,81015
