SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-6-2017,Single Family Residential,27 Cardinal Dr,Killingly,CT,06241,171000,3,2.5,Dayville,1872,30056,2006,1687,91,,Sold,,,http://www.redfin.com/CT/Dayville/27-Cardinal-Dr-06241/home/53743497,Smart MLS,E10184624,N,Y,41.8410667,-71.9039397
PAST SALE,January-17-2017,Multi-Family (2-4 Unit),75 Daggett St,Plainfield,CT,06354,110000,,,Moosup,1803,20908,1900,1735,61,,Sold,,,http://www.redfin.com/CT/Moosup/75-77-Daggett-St-06354/home/53700691,Smart MLS,E10128461,N,Y,41.717134,-71.882137
PAST SALE,October-28-2016,Single Family Residential,111 Bibeault St,Putnam,CT,06260,169000,3,1.0,Putnam,1190,17424,1973,1816,142,,Sold,,,http://www.redfin.com/CT/Putnam/111-Bibeault-St-06260/home/54414617,MLS PIN,72061290,N,Y,41.9305744,-71.9101923
PAST SALE,November-18-2016,Single Family Residential,609 School St,Putnam,CT,06260,150000,3,2.5,Putnam,1472,12196,1956,1795,102,,Sold,,,http://www.redfin.com/CT/Putnam/609-School-St-06260/home/49881393,Smart MLS,E10127222,N,Y,41.924471,-71.8904149
PAST SALE,November-18-2016,Condo/Co-op,74 Perry St #188,Putnam,CT,06260,189900,2,2.0,Putnam,1149,,2005,1795,165,213,Sold,,,http://www.redfin.com/CT/Putnam/74-Perry-St-06260/unit-188/home/54414860,Smart MLS,E10155616,N,Y,41.9156495,-71.8976802
PAST SALE,February-17-2017,Single Family Residential,99 Charlotte Dr,Plainfield,CT,06374,116000,3,2.0,Plainfield,1526,34848,1997,1704,76,,Sold,,,http://www.redfin.com/CT/Plainfield/99-Charlotte-Dr-06374/home/53698913,Smart MLS,E10184502,N,Y,41.7367925,-71.9140828
PAST SALE,January-13-2017,Single Family Residential,704 Chestnut Hill Rd,Killingly,CT,06241,110000,3,1.0,Killingly,1008,20037,1988,1739,109,,Sold,,,http://www.redfin.com/CT/Dayville/704-Chestnut-Hill-Rd-06241/home/53746203,Smart MLS,E10177481,N,Y,41.8746442,-71.8608621
PAST SALE,January-9-2017,Single Family Residential,31 Grove St,Putnam,CT,06260,65000,3,3.0,Putnam,2128,14374,1800,1743,31,,Sold,,,http://www.redfin.com/CT/Putnam/31-Grove-St-06260/home/54416282,Smart MLS,G10181011,N,Y,41.9122104,-71.9059776
PAST SALE,December-29-2016,Single Family Residential,438 Wauregan Rd,Killingly,CT,06239,236000,4,3.5,Danielson,2499,25700,1977,1754,94,,Sold,,,http://www.redfin.com/CT/Danielson/438-Wauregan-Rd-06239/home/53745648,Smart MLS,G10165357,N,Y,41.7733023,-71.8961583
PAST SALE,December-7-2016,Single Family Residential,44 RACHEL Dr,Thompson,CT,06255,160000,3,1.0,Thompson,1040,34848,1961,1776,154,,Sold,,,http://www.redfin.com/CT/North-Grosvenor-Dale/44-Rachel-Dr-06255/home/54348162,MLS PIN,72073145,N,Y,41.9705033,-71.8878783
