SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-22-2017,Single Family Residential,349 Ripley Hill Rd,Coventry,CT,06238,272500,3,3.0,Coventry,1736,76230,1986,1487,157,,Sold,,,http://www.redfin.com/CT/Coventry/349-Ripley-Hill-Rd-06238/home/54452805,Smart MLS,G10232773,N,Y,41.7886193,-72.3072707
PAST SALE,July-7-2017,Single Family Residential,380 High St,Coventry,CT,06238,60500,3,1.0,Coventry,1316,334976,1850,1564,46,,Sold,,,http://www.redfin.com/CT/Coventry/380-High-St-06238/home/54453385,Smart MLS,G10225468,N,Y,41.7591211,-72.2946867
PAST SALE,November-6-2017,Single Family Residential,995 Flanders Rd,Coventry,CT,06238,162000,2,1.0,Coventry,1104,163785,1981,1442,147,,Sold,,,http://www.redfin.com/CT/Coventry/995-Flanders-Rd-06238/home/54453411,Smart MLS,170013220,N,Y,41.7523375,-72.2900178
PAST SALE,May-31-2017,Single Family Residential,92 Leslie Ln,Coventry,CT,06238,308000,3,2.5,Coventry,1800,40946,2000,1601,171,,Sold,,,http://www.redfin.com/CT/Coventry/92-Leslie-Ln-06238/home/54453661,Smart MLS,G10214386,N,Y,41.7758211,-72.3123584
PAST SALE,October-10-2017,Single Family Residential,37 Godiva Ln,Coventry,CT,06238,225000,2,2.0,Coventry,1202,91476,2007,1469,187,,Sold,,,http://www.redfin.com/CT/Coventry/37-Godiva-Ln-06238/home/54448252,Smart MLS,P10217900,N,Y,41.766436,-72.368933
PAST SALE,December-21-2017,Condo/Co-op,94 Stonehouse Rd #19,Coventry,CT,06238,425000,2,2.0,Coventry,2830,,2017,1397,150,305,Sold,,,http://www.redfin.com/CT/Coventry/94-Stonehouse-Rd-06238/unit-19/home/146375349,Smart MLS,G10241018,N,Y,41.7705847,-72.301674
PAST SALE,,Single Family Residential,803 Stonehouse Rd,Coventry,CT,06238,234000,5,1.5,,1932,73616,1948,,121,,,,,http://www.redfin.com/CT/Coventry/803-Stonehouse-Rd-06238/home/54452128,,,N,Y,41.7820056,-72.2838657
PAST SALE,September-20-2017,Single Family Residential,146 Beebe Farms Rd,Coventry,CT,06238,170000,2,1.0,Coventry,916,37897,1940,1489,186,,Sold,,,http://www.redfin.com/CT/Coventry/146-Beebe-Farms-Rd-06238/home/54451717,Smart MLS,170003953,N,Y,41.7696859,-72.332558
PAST SALE,October-10-2017,Single Family Residential,5 Cowles Rd,Willington,CT,06279,155000,3,1.5,Willington,960,59241,1955,1469,161,,Sold,,,http://www.redfin.com/CT/Willington/5-Cowles-Rd-06279/home/54048854,Smart MLS,G10237604,N,Y,41.8641768,-72.2335337
PAST SALE,December-28-2017,Single Family Residential,1065 Buckley Hwy,Union,CT,06076,305000,4,2.0,Union,2045,89297,1998,1390,149,,Sold,,,http://www.redfin.com/CT/Union/1065-Buckley-Hwy-06076/home/54136632,Smart MLS,170032575,N,Y,42.0005426,-72.1493187
