DATE,MHICT09001A052NCEN
2000-01-01,63762
2001-01-01,63881
2002-01-01,62756
2003-01-01,61035
2004-01-01,60790
2005-01-01,71493
2006-01-01,76378
2007-01-01,80020
2008-01-01,84250
2009-01-01,78892
2010-01-01,74634
2011-01-01,77065
2012-01-01,79536
2013-01-01,81816
2014-01-01,85336
2015-01-01,86297
2016-01-01,89954
2017-01-01,91170
2018-01-01,91183
2019-01-01,96966
