DATE,CTUR
2000-01-01,2.1083333333333333
2001-01-01,2.8750000000000000
2002-01-01,4.4000000000000000
2003-01-01,5.4500000000000000
2004-01-01,5.0916666666666667
2005-01-01,4.8000000000000000
2006-01-01,4.4250000000000000
2007-01-01,4.4500000000000000
2008-01-01,5.6500000000000000
2009-01-01,8.3250000000000000
2010-01-01,9.5583333333333333
2011-01-01,9.0166666666666667
2012-01-01,8.3583333333333333
2013-01-01,7.9500000000000000
2014-01-01,6.6166666666666667
2015-01-01,5.6166666666666667
2016-01-01,4.8666666666666667
2017-01-01,4.4083333333333333
2018-01-01,3.9166666666666667
2019-01-01,3.5916666666666667
2020-01-01,7.9333333333333333
