DATE,MHICT09013A052NCEN
2000-01-01,60190
2001-01-01,60166
2002-01-01,61189
2003-01-01,61418
2004-01-01,62711
2005-01-01,72167
2006-01-01,69458
2007-01-01,74700
2008-01-01,75251
2009-01-01,78471
2010-01-01,74868
2011-01-01,77124
2012-01-01,75048
2013-01-01,73660
2014-01-01,78653
2015-01-01,81616
2016-01-01,81369
2017-01-01,75571
2018-01-01,89584
2019-01-01,90181
