DATE,MHICT09015A052NCEN
2000-01-01,45270
2001-01-01,44725
2002-01-01,45433
2003-01-01,45996
2004-01-01,47306
2005-01-01,48630
2006-01-01,53802
2007-01-01,57339
2008-01-01,54027
2009-01-01,56342
2010-01-01,56564
2011-01-01,54911
2012-01-01,54221
2013-01-01,55948
2014-01-01,57547
2015-01-01,61303
2016-01-01,60869
2017-01-01,62606
2018-01-01,65182
2019-01-01,63309
