DATE,MHICT09007A052NCEN
2000-01-01,60706
2001-01-01,60660
2002-01-01,61699
2003-01-01,61869
2004-01-01,63949
2005-01-01,69856
2006-01-01,68764
2007-01-01,72155
2008-01-01,74645
2009-01-01,74524
2010-01-01,70805
2011-01-01,75714
2012-01-01,74588
2013-01-01,75335
2014-01-01,76365
2015-01-01,82878
2016-01-01,80190
2017-01-01,81533
2018-01-01,88709
2019-01-01,81721
