SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-30-2020,Multi-Family (2-4 Unit),37 Bushy Hill Rd,Simsbury,CT,06070,265000,0,,Simsbury,1824,13939,1930,353,145,22,Sold,,,http://www.redfin.com/CT/Simsbury/37-Bushy-Hill-Rd-06070/home/54001328,Smart MLS,170329485,N,Y,41.8674626,-72.819906
PAST SALE,,Condo/Co-op,39 Old Mill Ct,Simsbury,CT,06070,185000,2,2.5,,1781,,1978,,104,,,,,http://www.redfin.com/CT/Simsbury/39-Old-Mill-Ct-06070/home/54002205,,,N,Y,41.8716075,-72.8110391
PAST SALE,October-1-2020,Single Family Residential,87 Mountain Rd,Hartland,CT,06027,349900,4,3.5,East Hartland,4170,44431,1977,382,84,,Sold,,,http://www.redfin.com/CT/East-Hartland/87-Mountain-Rd-06027/home/54137600,Smart MLS,170306310,N,Y,41.9950932,-72.893197
PAST SALE,April-20-2020,Single Family Residential,75 Higley Rd,Granby,CT,06090,90000,2,1.0,Granby,2036,82764,1947,546,44,,Sold,,,http://www.redfin.com/CT/West-Granby/75-Higley-Rd-06090/home/54371174,Smart MLS,170245180,N,Y,41.9690408,-72.8611712
PAST SALE,October-29-2020,Single Family Residential,6 Windy Woods Ln,Granby,CT,06035,410000,3,3.0,Granby,2500,370695,2000,354,164,,Sold,,,http://www.redfin.com/CT/Granby/6-Windy-Woods-Ln-06035/home/54371343,Smart MLS,170337040,N,Y,41.9615735,-72.833515
PAST SALE,May-26-2020,Single Family Residential,8 Strawberry Fields Rd,Granby,CT,06035,514000,4,2.5,Granby,3750,51400,1998,510,137,,Sold,,,http://www.redfin.com/CT/Granby/8-Strawberry-Fields-Rd-06035/home/54371477,Smart MLS,170269818,N,Y,41.9611877,-72.8123584
PAST SALE,October-1-2020,Single Family Residential,18 High Ridge Dr,Granby,CT,06035,320000,4,3.0,Granby,2606,33105,1978,382,123,,Sold,,,http://www.redfin.com/CT/Granby/18-High-Ridge-Dr-06035/home/54371926,Smart MLS,170295729,N,Y,41.963346,-72.7993631
PAST SALE,,Condo/Co-op,33 Windmill Spgs,Granby,CT,06035,180000,2,2.5,,1410,,1984,,128,,,,,http://www.redfin.com/CT/Granby/33-Windmill-Spgs-06035/home/54372065,,,N,Y,41.9488469,-72.7880921
PAST SALE,June-5-2019,Single Family Residential,38 Loomis St,Granby,CT,06060,425000,4,2.5,North Granby,3636,131115,2003,866,117,,Sold,,,http://www.redfin.com/CT/North-Granby/38-Loomis-St-06060/home/54372963,Smart MLS,170180451,N,Y,42.002691,-72.8221218
PAST SALE,August-27-2020,Single Family Residential,51 Loomis St,Granby,CT,06060,370000,3,2.0,North Granby,2800,91040,1982,417,132,,Sold,,,http://www.redfin.com/CT/North-Granby/51-Loomis-St-06060/home/54373374,Smart MLS,170306955,N,Y,42.004698,-72.823938
PAST SALE,November-18-2020,Single Family Residential,400 Salmon Brook St,Granby,CT,06035,225000,3,1.0,Granby,1176,8276,1945,334,191,,Sold,,,http://www.redfin.com/CT/Granby/400-Salmon-Brook-St-06035/home/54373491,Smart MLS,170334176,N,Y,41.9713765,-72.7958083
PAST SALE,January-12-2021,Single Family Residential,6 Morningside Dr,Granby,CT,06090,340000,4,3.0,West Granby,1574,282268,1958,279,216,,Sold,,,http://www.redfin.com/CT/West-Granby/6-Morningside-Dr-06090/home/106852918,MLS PIN,72757681,N,Y,41.9609257,-72.842564
PAST SALE,May-29-2020,Single Family Residential,31 Wells Rd,Granby,CT,06035,750000,6,4.5,Granby,4169,325828,1853,507,180,,Sold,,,http://www.redfin.com/CT/Granby/31-Wells-Rd-06035/home/109636214,Smart MLS,170231131,N,Y,41.9771329,-72.8072862
PAST SALE,July-29-2020,Vacant Land,15 Holcomb St,Simsbury,CT,06070,101250,,,Simsbury,,90604,,446,,,Sold,,,http://www.redfin.com/CT/Simsbury/15-Holcomb-St-06070/home/144764975,Smart MLS,170189138,N,Y,41.9024673,-72.8431662
PAST SALE,May-15-2019,Single Family Residential,56 Cambridge Ct,Simsbury,CT,06070,406780,3,2.5,Cambridge Crossing,1900,,2018,887,214,270,Sold,,,http://www.redfin.com/CT/Simsbury/56-Cambridge-Ct-06070/home/168213135,Smart MLS,170128216,N,Y,41.9028844,-72.7923699
PAST SALE,July-9-2020,Single Family Residential,14 Hedgehog Ln,Simsbury,CT,06092,273000,4,2.0,West Simsbury,1825,67518,1966,466,150,,Sold,,,http://www.redfin.com/CT/West-Simsbury/14-Hedgehog-Ln-06092/home/53996951,Smart MLS,170284213,N,Y,41.8864963,-72.8491247
PAST SALE,December-11-2020,Single Family Residential,5 Simscroft Rd,Simsbury,CT,06070,299000,3,2.0,Simsbury,1648,14374,1932,311,181,,Sold,,,http://www.redfin.com/CT/Simsbury/5-Simscroft-Pl-06070/home/54001233,Smart MLS,170350164,N,Y,41.881577,-72.814031
PAST SALE,October-29-2018,Single Family Residential,20 Centerwood Rd,Simsbury,CT,06070,230000,3,2.0,Simsbury,1480,25700,1966,1085,155,,Sold,,,http://www.redfin.com/CT/Simsbury/20-Centerwood-Rd-06070/home/54003234,Smart MLS,170122319,N,Y,41.9150852,-72.793945
PAST SALE,,Condo/Co-op,8 Carriage Dr,Simsbury,CT,06070,115000,2,2.0,,1100,,1968,,105,,,,,http://www.redfin.com/CT/Simsbury/8-Carriage-Dr-06070/home/54004132,,,N,Y,41.8756557,-72.807846
PAST SALE,January-29-2020,Single Family Residential,226 Salmon Brook St,Granby,CT,06035,157500,4,2.0,Granby,2369,82328,1800,628,66,,Sold,,,http://www.redfin.com/CT/Granby/226-Salmon-Brook-St-06035/home/54372046,Smart MLS,170225018,N,Y,41.9483334,-72.7900836
PAST SALE,,Multi-Family (2-4 Unit),38 Cone Mountain Rd,West Granby,CT,06090,620000,5,5.5,,3228,81457,2002,,192,,,,,http://www.redfin.com/CT/West-Granby/38-Cone-Mountain-Rd-06090/home/54372570,,,N,Y,41.9499038,-72.8653481
PAST SALE,,Single Family Residential,6 WINDMILL LN,CANTON,CT,06019,672891,4,2.5,,3118,98881,2019,,216,,,,,http://www.redfin.com/CT/CANTON/6-WINDMILL-LN-06019/home/54005164,,,N,Y,41.916034,-72.891495
PAST SALE,August-24-2018,Single Family Residential,20 Teachers TURN,Simsbury,CT,06070,692500,4,5.0,Simsbury,5593,68824,1998,1151,124,,Sold,,,http://www.redfin.com/CT/Simsbury/20-Teachers-Turn-06070/home/53996881,Smart MLS,170079348,N,Y,41.8872188,-72.8290099
PAST SALE,November-13-2019,Single Family Residential,31 High St,South Windsor,CT,06074,249900,3,2.0,South Windsor,1556,22215,1961,705,161,,Sold,,,http://www.redfin.com/CT/South-Windsor/31-High-St-06074/home/54131152,Smart MLS,170236048,N,Y,41.8526498,-72.562236
PAST SALE,January-7-2021,Single Family Residential,129 Farmstead Dr,South Windsor,CT,06074,230000,3,1.0,South Windsor,1184,26571,1956,284,194,,Sold,,,http://www.redfin.com/CT/South-Windsor/129-Farmstead-Dr-06074/home/54131573,Smart MLS,170353084,N,Y,41.8584728,-72.5552006
PAST SALE,October-27-2020,Single Family Residential,70 Griffin Rd,South Windsor,CT,06074,216000,3,1.0,South Windsor,1040,19166,1957,356,208,,Sold,,,http://www.redfin.com/CT/South-Windsor/70-Griffin-Rd-06074/home/54131764,Smart MLS,170323760,N,Y,41.8648392,-72.5708307
PAST SALE,July-8-2020,Single Family Residential,11 Jessica Dr,South Windsor,CT,06074,425000,3,2.5,South Windsor,2467,26571,1986,467,172,,Sold,,,http://www.redfin.com/CT/South-Windsor/11-Jessica-Dr-06074/home/54133261,Smart MLS,170302344,N,Y,41.8539801,-72.5011405
PAST SALE,August-16-2019,Single Family Residential,121 Overlook Rd,South Windsor,CT,06074,220000,3,1.5,South Windsor,1232,20037,1956,794,179,,Sold,,,http://www.redfin.com/CT/South-Windsor/121-Overlook-Rd-06074/home/54133721,Smart MLS,170204683,N,Y,41.8619265,-72.5541031
PAST SALE,September-10-2020,Single Family Residential,269 Abbe Rd,South Windsor,CT,06074,390000,5,3.0,South Windsor,2296,25264,1956,403,170,,Sold,,,http://www.redfin.com/CT/South-Windsor/269-Abbe-Rd-06074/home/54135196,Smart MLS,170305781,N,Y,41.8613416,-72.5414411
PAST SALE,September-15-2020,Single Family Residential,5 Farm Hill Road- Homesite 1 Dr,South Windsor,CT,06074,608406,4,2.5,South Windsor,2690,21780,2019,398,226,50,Sold,,,http://www.redfin.com/CT/South-Windsor/5-Farm-Hill-Rd-06074/home/146101853,Smart MLS,170136228,N,Y,41.8556381,-72.5549247
PAST SALE,October-11-2019,Single Family Residential,55 Windsorville Rd,South Windsor,CT,06074,285000,3,1.5,South Windsor,2400,67518,1910,738,119,,Sold,,,http://www.redfin.com/CT/South-Windsor/55-Windsorville-Rd-06074/home/147387012,Smart MLS,170160718,N,Y,41.8649886,-72.5724845
PAST SALE,,Single Family Residential,276 RYE ST,BROAD BROOK,CT,06016,45000,3,2.5,,1823,32670,2020,,25,,,,,http://www.redfin.com/CT/BROAD-BROOK/276-RYE-ST-06016/home/53758775,,,N,Y,41.88304,-72.574147
PAST SALE,July-29-2020,Single Family Residential,111 Longmeadow- homesite21 Dr,South Windsor,CT,06042,874834,5,5.0,Estates at South Windsor,4500,22651,2020,446,194,,Sold,,,http://www.redfin.com/CT/South-Windsor/111-Longmeadow-Dr-06074/home/146101831,Smart MLS,170060194,N,Y,41.8535501,-72.5518387
PAST SALE,October-30-2019,Single Family Residential,102 LONGMEADOW Dr,South Windsor,CT,06074,687767,4,4.0,Wapping,3797,21780,2019,719,181,50,Sold,,,http://www.redfin.com/CT/South-Windsor/102-Longmeadow-Dr-06074/home/146101838,Smart MLS,170086514,N,Y,41.8528625,-72.5521391
PAST SALE,September-10-2020,Condo/Co-op,5 Gatewood #5,Avon,CT,06001,420000,3,2.5,Alsop Corner,2825,,2004,403,149,445,Sold,,,http://www.redfin.com/CT/Avon/5-Gatewood-06001/unit-5/home/171794653,Smart MLS,170280880,N,Y,41.810893,-72.8082426
PAST SALE,May-18-2021,Single Family Residential,1 Cedar CL,Bloomfield,CT,06002,620000,3,2.5,Bloomfield,2101,91911,1934,153,295,,Sold,,,http://www.redfin.com/CT/Bloomfield/1-Cedar-Close-06002/home/53942163,Smart MLS,170343366,N,Y,41.8064155,-72.7722854
PAST SALE,May-28-2021,Single Family Residential,56 Berkshire Rd,West Hartford,CT,06107,283000,3,2.0,West Hartford,1948,18295,1971,143,145,,Sold,,,http://www.redfin.com/CT/West-Hartford/56-Berkshire-Rd-06107/home/53962349,Smart MLS,170384817,N,Y,41.7336639,-72.7523157
PAST SALE,March-25-2021,Single Family Residential,26 Fairlee Rd,West Hartford,CT,06107,486000,3,2.0,West Hartford,2082,10018,1947,207,233,,Sold,,,http://www.redfin.com/CT/West-Hartford/26-Fairlee-Rd-06107/home/53964898,Smart MLS,170366437,N,Y,41.7525557,-72.7572564
PAST SALE,April-30-2021,Single Family Residential,624 Fern St,West Hartford,CT,06107,367000,4,2.0,West Hartford,1728,9583,1936,171,212,,Sold,,,http://www.redfin.com/CT/West-Hartford/624-Fern-St-06107/home/53965512,Smart MLS,170371866,N,Y,41.7669071,-72.7577643
PAST SALE,April-19-2021,Single Family Residential,14 Flagstad Rd,West Hartford,CT,06107,490000,4,2.0,West Hartford,2671,17859,1961,182,183,,Sold,,,http://www.redfin.com/CT/West-Hartford/14-Flagstad-Rd-06107/home/53965769,Smart MLS,170380254,N,Y,41.7729263,-72.7551785
PAST SALE,October-30-2020,Single Family Residential,20 Greenridge Ln,West Hartford,CT,06107,699900,5,3.5,Sunset Farm,3264,108900,1936,353,214,,Sold,,,http://www.redfin.com/CT/West-Hartford/20-Greenridge-Ln-06107/home/53965913,Smart MLS,170244145,N,Y,41.7611814,-72.77868
PAST SALE,July-21-2020,Single Family Residential,28 Fowler Dr,West Hartford,CT,06110,282000,4,2.0,West Hartford,1494,9583,1959,454,189,,Sold,,,http://www.redfin.com/CT/West-Hartford/28-Fowler-Dr-06110/home/53966026,Smart MLS,170304179,N,Y,41.7242776,-72.7549015
PAST SALE,July-10-2020,Single Family Residential,37 Grissom Dr,West Hartford,CT,06110,309500,3,2.0,West Hartford,2045,10890,1970,465,151,,Sold,,,http://www.redfin.com/CT/West-Hartford/37-Grissom-Dr-06110/home/53966311,Smart MLS,170297839,N,Y,41.7193957,-72.7565868
PAST SALE,June-30-2021,Single Family Residential,29 John Smith Dr,West Hartford,CT,06107,275000,3,1.0,West Hartford,1134,11325,1954,110,243,,Sold,,,http://www.redfin.com/CT/West-Hartford/29-John-Smith-Dr-06107/home/53967159,Smart MLS,170397253,N,Y,41.736719,-72.7552247
PAST SALE,July-15-2021,Single Family Residential,94 Hunter Dr,West Hartford,CT,06107,806000,4,3.5,West Hartford,3562,20908,2000,95,226,,Sold,,,http://www.redfin.com/CT/West-Hartford/94-Hunter-Dr-06107/home/53975015,Smart MLS,170393736,N,Y,41.7685074,-72.7730472
PAST SALE,June-30-2021,Single Family Residential,18 Van Buren Ave,West Hartford,CT,06107,499000,4,3.5,West Hartford,2357,11761,1937,110,212,,Sold,,,http://www.redfin.com/CT/West-Hartford/18-Van-Buren-Ave-06107/home/53976360,Smart MLS,170401952,N,Y,41.7575593,-72.7519925
PAST SALE,May-28-2021,Single Family Residential,31 Spring Ln,West Hartford,CT,06107,395000,3,1.5,West Hartford,1842,11325,1950,143,214,,Sold,,,http://www.redfin.com/CT/West-Hartford/31-Spring-Ln-06107/home/53976657,Smart MLS,170382771,N,Y,41.7479256,-72.7556403
PAST SALE,February-19-2021,Single Family Residential,2 Walton Dr,West Hartford,CT,06107,455000,4,2.5,West Hartford,3239,13068,1956,241,140,,Sold,,,http://www.redfin.com/CT/West-Hartford/2-Walton-Dr-06107/home/53977540,Smart MLS,170365609,N,Y,41.761289,-72.7641823
PAST SALE,July-8-2021,Single Family Residential,167 Ridgewood Rd,West Hartford,CT,06107,265000,3,2.0,West Hartford,1994,15681,1940,102,133,,Sold,,,http://www.redfin.com/CT/West-Hartford/167-Ridgewood-Rd-06107/home/53977926,Smart MLS,170405252,N,Y,41.7444474,-72.7600268
PAST SALE,December-3-2020,Single Family Residential,23 Greenridge Ln,West Hartford,CT,06107,725000,4,4.5,West Hartford,3854,38332,1941,319,188,158,Sold,,,http://www.redfin.com/CT/West-Hartford/23-Greenridge-Ln-06107/home/53979339,Smart MLS,170345158,N,Y,41.7611757,-72.78085
PAST SALE,April-8-2021,Single Family Residential,61 Mountain Terrace Rd,West Hartford,CT,06107,470000,3,2.5,West Hartford,2477,17424,1957,193,190,,Sold,,,http://www.redfin.com/CT/West-Hartford/61-Mountain-Terrace-Rd-06107/home/53979449,Smart MLS,170388139,N,Y,41.7577017,-72.7737398
PAST SALE,November-17-2020,Single Family Residential,23 Marilyn Dr,Bristol,CT,06010,172000,2,1.0,Bristol,1040,13503,1959,335,165,,Sold,,,http://www.redfin.com/CT/Bristol/23-Marilyn-Dr-06010/home/54406352,Smart MLS,170341684,N,Y,41.6832478,-72.9261722
PAST SALE,September-21-2020,Condo/Co-op,279 Redstone Hill Rd #41,Bristol,CT,06010,76145,1,1.0,Bristol,736,,1981,392,103,157,Sold,,,http://www.redfin.com/CT/Bristol/279-Redstone-Hill-Rd-06010/unit-41/home/54404923,Smart MLS,170324111,N,Y,41.6581966,-72.9043675
