SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-4-2017,Single Family Residential,4 Regatta Dr,East Lyme,CT,06357,340000,2,2.5,Niantic,1704,6969,2005,1658,200,300,Sold,,,http://www.redfin.com/CT/Niantic/4-Regatta-Dr-06357/home/54376766,Smart MLS,N10193255,N,Y,41.3152291,-72.2273341
PAST SALE,September-10-2021,Single Family Residential,63 Carriage Hill Dr,East Lyme,CT,06357,342000,4,2.0,Niantic,2407,27878,1976,38,142,,Sold,,,http://www.redfin.com/CT/Niantic/63-Carriage-Hill-Dr-06357/home/54378555,Smart MLS,170416198,N,Y,41.3258496,-72.2217359
PAST SALE,September-3-2021,Single Family Residential,64 Laurel Point Dr,Montville,CT,06370,246000,3,1.5,Oakdale,1984,18730,1900,45,124,,Sold,,,http://www.redfin.com/CT/Oakdale/64-Laurel-Point-Dr-06370/home/54020269,Smart MLS,170413748,N,Y,41.4889071,-72.2034135
PAST SALE,September-20-2021,Condo/Co-op,11 King Arthur Dr Unit 4B,East Lyme,CT,06357,160000,2,1.5,Niantic,1120,,1969,28,143,300,Sold,,,http://www.redfin.com/CT/Niantic/11-King-Arthur-Dr-06357/unit-4B/home/54381538,Smart MLS,170406020,N,Y,41.3587211,-72.2043162
PAST SALE,September-4-2020,Multi-Family (2-4 Unit),875 Bank St,New London,CT,06320,218000,6,4.0,New London,2859,6098,1919,409,76,,Sold,,,http://www.redfin.com/CT/New-London/875-Bank-St-06320/home/172521962,Smart MLS,170315791,N,Y,41.3476717,-72.1091727
PAST SALE,April-3-2020,Single Family Residential,33 Cove View Rd,New London,CT,06320,250000,3,2.5,New London,1830,14810,1975,563,137,,Sold,,,http://www.redfin.com/CT/New-London/33-Cove-View-Rd-06320/home/53736630,Smart MLS,170270420,N,Y,41.3203908,-72.1011386
PAST SALE,December-15-2020,Single Family Residential,49 Cove View Rd,New London,CT,06320,250000,2,2.0,New London,1546,13939,1982,307,162,,Sold,,,http://www.redfin.com/CT/New-London/49-Cove-View-Rd-06320/home/53736622,Smart MLS,170335573,N,Y,41.3202944,-72.1018833
PAST SALE,June-26-2019,Single Family Residential,26 Glenwood Pl,New London,CT,06320,260000,4,2.5,New London,2209,18295,1960,845,118,,Sold,,,http://www.redfin.com/CT/New-London/26-Glenwood-Pl-06320/home/53736653,Smart MLS,170184707,N,Y,41.3176817,-72.1005831
PAST SALE,September-22-2020,Single Family Residential,42 Lester St,New London,CT,06320,223000,3,1.0,Ocean Beach,1305,9583,1936,391,171,,Sold,,,http://www.redfin.com/CT/New-London/42-Lester-St-06320/home/53737170,Smart MLS,170325668,N,Y,41.3226112,-72.095886
PAST SALE,August-1-2020,Single Family Residential,500 Pequot Ave,New London,CT,06320,1300000,5,4.0,New London,3117,10018,1999,443,417,,Sold,,,http://www.redfin.com/CT/New-London/500-Pequot-Ave-06320/home/53737217,Smart MLS,170243976,N,Y,41.3269598,-72.0911868
PAST SALE,,Condo/Co-op,70 Farmington Ave Unit 4B,New London,CT,06320,57000,2,1.5,,960,,1964,,59,,,,,http://www.redfin.com/CT/New-London/70-Farmington-Ave-06320/unit-4B/home/53737710,,,N,Y,41.3292389,-72.1071353
PAST SALE,,Single Family Residential,24 Hyde Park Dr,Gales Ferry,CT,06335,294500,3,2.5,,2190,40511,1989,,134,,,,,http://www.redfin.com/CT/Gales-Ferry/24-Hyde-Park-Dr-06335/home/54198943,,,N,Y,41.413405,-72.0632275
PAST SALE,,Other,779 Stonington Rd,Pawcatuck,CT,06379,27500,,,,,65340,,,,,,,,http://www.redfin.com/CT/Pawcatuck/779-Stonington-Rd-06379/home/53852644,,,N,Y,41.352345,-71.889972
