DATE,MHICT09003A052NCEN
2000-01-01,49461
2001-01-01,49208
2002-01-01,50274
2003-01-01,51630
2004-01-01,54093
2005-01-01,57722
2006-01-01,58608
2007-01-01,61056
2008-01-01,64045
2009-01-01,61962
2010-01-01,60028
2011-01-01,60947
2012-01-01,63374
2013-01-01,63491
2014-01-01,65809
2015-01-01,69260
2016-01-01,69341
2017-01-01,70433
2018-01-01,73037
2019-01-01,75336
