DATE,MHICT09011A052NCEN
2000-01-01,49365
2001-01-01,49539
2002-01-01,51453
2003-01-01,51513
2004-01-01,54218
2005-01-01,58674
2006-01-01,59398
2007-01-01,60907
2008-01-01,67484
2009-01-01,63450
2010-01-01,61792
2011-01-01,63561
2012-01-01,65573
2013-01-01,62638
2014-01-01,65813
2015-01-01,65602
2016-01-01,70258
2017-01-01,71721
2018-01-01,67790
2019-01-01,75226
