SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-30-2020,Single Family Residential,185 Columbus Ave,Meriden,CT,06451,164000,2,1.0,Meriden,1002,7405,1952,536,164,,Sold,,,http://www.redfin.com/CT/Meriden/185-Columbus-Ave-06451/home/54460048,Smart MLS,170271935,N,Y,41.5288675,-72.8166285
PAST SALE,,Single Family Residential,142 Malcolm Rd,West Haven,CT,06516,85200,3,2.0,,1184,12632,1979,,72,,,,,http://www.redfin.com/CT/West-Haven/142-Malcolm-Rd-06516/home/54088271,,,N,Y,41.2944501,-72.9698855
PAST SALE,,Single Family Residential,68 Oak Hill Dr,Southbury,CT,06488,,4,2.5,,1336,40075,1974,,,,Sold,,,http://www.redfin.com/CT/Southbury/68-Oakhill-Dr-06488/home/54255819,Smart MLS,,N,Y,41.466318,-73.20016
PAST SALE,April-30-2019,Multi-Family (2-4 Unit),23 W Clay St,Waterbury,CT,06706,25000,0,,Waterbury,4023,3049,1930,902,6,,Sold,,,http://www.redfin.com/CT/Waterbury/23-W-Clay-St-06706/home/109547590,Smart MLS,170088038,N,Y,41.549476,-73.0393216
PAST SALE,May-14-2019,Single Family Residential,66 Robart St,West Haven,CT,06516,260000,3,2.5,West Haven,1946,5662,1956,888,134,,Sold,,,http://www.redfin.com/CT/West-Haven/66-Robart-St-06516/home/54088268,Smart MLS,170171290,N,Y,41.2993105,-72.9722845
PAST SALE,November-15-2018,Single Family Residential,129 Wakefield St,Hamden,CT,06517,315000,4,1.5,Spring Glen,1984,6098,1925,1068,159,,Sold,,,http://www.redfin.com/CT/Hamden/129-Wakefield-St-06517/home/54220616,Smart MLS,170110751,N,Y,41.3662387,-72.9131812
PAST SALE,March-15-2018,Single Family Residential,70 Fiesta Hts,Meriden,CT,06451,182000,3,2.0,Meriden,2032,16552,1958,1313,90,,Sold,,,http://www.redfin.com/CT/Meriden/70-Fiesta-Hts-06451/home/54469275,Smart MLS,N10112976,N,Y,41.5431861,-72.8306397
PAST SALE,November-21-2018,Single Family Residential,49 Alanby Dr,Meriden,CT,06451,185000,3,1.0,South Meriden,1280,10454,1953,1062,145,,Sold,,,http://www.redfin.com/CT/Meriden/49-Alanby-Dr-06451/home/54469541,Smart MLS,170117742,N,Y,41.5460799,-72.843309
PAST SALE,January-8-2018,Single Family Residential,30 Derby Ave,Orange,CT,06477,360000,4,2.5,Orange,2479,118483,1948,1379,145,,Sold,,,http://www.redfin.com/CT/Orange/30-Derby-Ave-06477/home/53950888,Smart MLS,N10226531,N,Y,41.3008162,-72.9870694
PAST SALE,April-5-2019,Single Family Residential,103 Deer Run Rd,Meriden,CT,06451,190000,4,1.5,South Meriden,1430,13068,1971,927,133,,Sold,,,http://www.redfin.com/CT/Meriden/103-Deer-Run-Rd-06451/home/54462525,Smart MLS,170167063,N,Y,41.5206259,-72.8472323
PAST SALE,July-12-2019,Single Family Residential,7 Christopher Ln,Meriden,CT,06451,205000,3,2.0,South Meriden,1272,11325,1967,829,161,,Sold,,,http://www.redfin.com/CT/Meriden/7-Christopher-Ln-06451/home/54468769,Smart MLS,170184863,N,Y,41.5171289,-72.8417396
PAST SALE,January-2-2020,Single Family Residential,850 Tall Timber Rd,Orange,CT,06477,385000,4,2.5,Indian Hill,2292,30056,1963,655,168,,Sold,,,http://www.redfin.com/CT/Orange/850-Tall-Timber-Rd-06477/home/53950901,Smart MLS,170243882,N,Y,41.3028893,-72.990091
PAST SALE,August-20-2018,Single Family Residential,1763 Whitney Ave,Hamden,CT,06517,222500,3,2.0,Spring Glen,1871,10890,1940,1155,119,,Sold,,,http://www.redfin.com/CT/Hamden/1763-Whitney-Ave-06517/home/172895754,Smart MLS,170080811,N,Y,41.3631,-72.9085668
PAST SALE,August-13-2019,Single Family Residential,105 Brookside Ave,Naugatuck,CT,06770,130000,3,1.0,Naugatuck,903,6969,1950,797,144,,Sold,,,http://www.redfin.com/CT/Naugatuck/105-Brookside-Ave-06770/home/54209413,Smart MLS,170206897,N,Y,41.4871858,-73.0708491
PAST SALE,April-3-2017,Condo/Co-op,214 Oakville Ave Unit D,Waterbury,CT,06708,49400,2,1.5,Waterbury,928,,1973,1659,53,317,Sold,,,http://www.redfin.com/CT/Waterbury/214-Oakville-Ave-06708/unit-D/home/53688661,Smart MLS,G10182294,N,Y,41.5775112,-73.0786471
PAST SALE,May-15-2017,Condo/Co-op,101 Madeline Ave #53,Waterbury,CT,06708,110000,3,1.5,Waterbury,1732,,1988,1617,64,265,Sold,,,http://www.redfin.com/CT/Waterbury/101-Madeline-Ave-06708/unit-53/home/53686402,Smart MLS,W10147806,N,Y,41.5812955,-73.0755065
PAST SALE,June-28-2018,Single Family Residential,30 Ian Dr,Meriden,CT,06451,285000,4,1.5,Meriden,2262,12196,1995,1208,126,,Sold,,,http://www.redfin.com/CT/Meriden/30-Ian-Dr-06451/home/54468340,Smart MLS,170065862,N,Y,41.5427394,-72.8450168
