SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-28-2017,Condo/Co-op,109 Willow Spgs #109,New Milford,CT,06776,147000,2,1.0,New Milford,1025,,1985,1512,143,213,Sold,,,http://www.redfin.com/CT/New-Milford/109-Willow-Spgs-06776/unit-109/home/148626529,Smart MLS,99190935,N,Y,41.5433297,-73.426282
PAST SALE,,Condo/Co-op,14 Pilgrim Trl Unit E4,Woodbury,CT,06798,50000,1,1.0,,546,,1965,,92,,,,,http://www.redfin.com/CT/Woodbury/14-Pilgrim-Trl-06798/unit-E4/home/107120214,,,N,Y,41.5664094,-73.2063044
PAST SALE,August-8-2017,Single Family Residential,63 Barbara Ln,Woodbury,CT,06798,265000,3,2.5,Woodbury,1416,41817,1978,1532,187,,Sold,,,http://www.redfin.com/CT/Woodbury/63-Barbara-Ln-06798/home/107121105,Smart MLS,W10231692,N,Y,41.5335868,-73.187624
PAST SALE,August-17-2017,Condo/Co-op,6 Woodbury Hl #6,Woodbury,CT,06798,265000,2,1.5,Woodbury,1502,,1985,1523,176,391,Sold,,,http://www.redfin.com/CT/Woodbury/6-Woodbury-Hl-06798/unit-6/home/148689365,Smart MLS,W10227892,N,Y,41.5574997,-73.2021793
PAST SALE,August-31-2017,Single Family Residential,105 Belgo Rd,Salisbury,CT,06039,1300000,4,3.5,Lakeville,4355,244371,2007,1509,299,,Sold,,,http://www.redfin.com/CT/Lakeville/105-Belgo-Rd-06039/home/107175012,Smart MLS,L10157113,N,Y,41.9658533,-73.4635752
PAST SALE,June-23-2017,Single Family Residential,266 Canaan Rd,North Canaan,CT,06024,155000,3,1.0,North Canaan,1792,13068,1900,1578,86,,Sold,,,http://www.redfin.com/CT/East-Canaan/266-E-Canaan-Rd-06024/home/107273240,Smart MLS,L10200236,N,Y,42.0128799,-73.2826152
PAST SALE,January-16-2018,Single Family Residential,114 Pinney St,Colebrook,CT,06021,580000,3,3.0,Colebrook,3110,439084,1998,1371,186,,Sold,,,http://www.redfin.com/CT/Colebrook/114-Pinney-St-06021/home/109741607,Smart MLS,170022788,N,Y,41.9894204,-73.120896
PAST SALE,January-19-2018,Single Family Residential,346 Westside Rd,Goshen,CT,06756,260000,2,1.0,Goshen,1662,13503,1980,1368,156,,Sold,,,http://www.redfin.com/CT/Goshen/346-W-Side-Rd-06756/home/107317834,Smart MLS,170025599,N,Y,41.8535814,-73.2589017
PAST SALE,January-8-2018,Single Family Residential,48 Wykeham Rd,Washington,CT,06793,299000,4,2.5,Washington,2826,84506,1820,1379,106,,Sold,,,http://www.redfin.com/CT/Washington/48-Wykeham-Rd-06793/home/107171793,Smart MLS,L10199816,N,Y,41.634795,-73.3060427
PAST SALE,,Single Family Residential,52 Calhoun St,Washington,CT,06794,,,,,,618116,,,,,Sold,,,http://www.redfin.com/CT/Washington-Depot/52-Calhoun-St-06794/home/107172192,Smart MLS,,N,Y,41.64616,-73.322169
PAST SALE,January-22-2018,Single Family Residential,41 Meetinghouse Ter,New Milford,CT,06776,272500,3,2.0,Merryall,1571,43995,1978,1365,173,,Sold,,,http://www.redfin.com/CT/New-Milford/41-Meetinghouse-Ter-06776/home/107695891,Smart MLS,99179534,N,Y,41.6267742,-73.4263314
PAST SALE,December-29-2017,Single Family Residential,100 Buckingham Rd,New Milford,CT,06776,345000,3,1.5,Northville,1966,48351,1700,1389,175,,Sold,,,http://www.redfin.com/CT/New-Milford/100-Buckingham-Rd-06776/home/107726354,Smart MLS,W10223680,N,Y,41.6280325,-73.387354
