,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2188,PAST SALE,September-29-2017,Single Family Residential,2 Fox Hill Dr,Stafford,CT,6076,325900.0,3.0,2.5,Stafford,2040.0,47480.0,2002.0,1480.0,160.0,,Sold,,,http://www.redfin.com/CT/Stafford-Springs/2-Fox-Hill-Dr-06076/home/53906429,Smart MLS,G10237982,N,Y,41.9747277,-72.3102308
2189,PAST SALE,July-27-2017,Single Family Residential,145 River Rd,Willington,CT,6279,185000.0,7.0,1.5,Willington,2067.0,132422.0,1850.0,1544.0,90.0,,Sold,,,http://www.redfin.com/CT/Willington/145-River-Rd-06279/home/54049131,Smart MLS,G10225710,N,Y,41.8560396,-72.3004714
2190,PAST SALE,July-28-2017,Single Family Residential,101 Tolland Tpke,Willington,CT,6279,202500.0,3.0,2.0,Willington,1360.0,49658.0,1968.0,1543.0,149.0,,Sold,,,http://www.redfin.com/CT/Willington/101-Tolland-Tpke-06279/home/54049352,Smart MLS,G10230293,N,Y,41.8809729,-72.2883063
2191,PAST SALE,May-31-2017,Single Family Residential,41 Lucerne Dr,Willington,CT,6279,173350.0,3.0,1.5,Willington,1540.0,47916.0,1968.0,1601.0,113.0,,Sold,,,http://www.redfin.com/CT/Willington/41-Lucerne-Dr-06279/home/54049860,Smart MLS,G10208480,N,Y,41.9181513,-72.2849296
2192,PAST SALE,June-29-2017,Single Family Residential,111 Willie Cir,Tolland,CT,6084,279900.0,3.0,2.5,Tolland,2072.0,30056.0,1965.0,1572.0,135.0,,Sold,,,http://www.redfin.com/CT/Tolland/111-Willie-Cir-06084/home/54109133,Smart MLS,G10218056,N,Y,41.8889335,-72.4035525
2193,PAST SALE,September-12-2017,Single Family Residential,645 Tolland Stage Rd,Tolland,CT,6084,207000.0,4.0,1.5,Tolland,1776.0,32670.0,1966.0,1497.0,117.0,,Sold,,,http://www.redfin.com/CT/Tolland/645-Tolland-Stage-Rd-06084/home/54110460,Smart MLS,G10209415,N,Y,41.8754733,-72.3751309
2194,PAST SALE,November-10-2017,Single Family Residential,174 Walbridge Hill Rd,Tolland,CT,6084,247500.0,3.0,2.0,Tolland,1924.0,261795.0,1985.0,1438.0,129.0,,Sold,,,http://www.redfin.com/CT/Tolland/174-Walbridge-Hill-Rd-06084/home/54111986,Smart MLS,G10228679,N,Y,41.854083,-72.3153155
2195,PAST SALE,November-3-2017,Single Family Residential,56 Lawlor Rd,Tolland,CT,6084,380000.0,4.0,2.5,Tolland,3100.0,43560.0,1992.0,1445.0,123.0,,Sold,,,http://www.redfin.com/CT/Tolland/56-Lawlor-Rd-06084/home/54112207,Smart MLS,G10218503,N,Y,41.8333644,-72.3949061
2196,PAST SALE,October-11-2017,Single Family Residential,118 Sandy Beach Rd,Ellington,CT,6029,249900.0,3.0,1.0,Ellington,2141.0,89297.0,1946.0,1468.0,117.0,,Sold,,,http://www.redfin.com/CT/Ellington/118-Sandy-Beach-Rd-06029/home/54251679,Smart MLS,170006320,N,Y,41.9318249,-72.3568725
2197,PAST SALE,August-18-2017,Single Family Residential,4 Barbara Rd,Tolland,CT,6084,429900.0,4.0,2.5,Tolland,,44431.0,2001.0,1522.0,,,Sold,,,http://www.redfin.com/CT/Tolland/4-Barbara-Rd-06084/home/54110236,Smart MLS,G10221591,N,Y,41.8699345,-72.3318761
